’67cc667c,Jerry,2019-12-11 15:02:12 +0800,Update k8s.yaml’
’97a553c9,Jerry,2019-12-11 14:52:03 +0800,Update k8s.yaml’
’b005681b,Jerry,2019-12-11 14:40:47 +0800,Update Jenkinsfile’
’3d962dae,张富利,2019-12-11 13:28:08 +0800,ambassador’
’b8a48838,Zyriix,2019-12-11 13:11:57 +0800,Merge branch 'master' of https://github.com/clsaa/dop’
’0b436ac0,张富利,2019-12-11 13:03:10 +0800,测试修改 yaml’
’324c8009,张富利,2019-12-11 12:53:55 +0800,测试修改 yaml’
’63d817e3,张富利,2019-12-11 12:38:51 +0800,修改registry’
’26fb939e,Zyriix,2019-12-11 11:00:17 +0800,该版本增加： 1.修改代码中mysql的地址 用户名 密码 2.修改代码中的harbor地址 3.增加 jenkins mysql部署文档中的细节’
’3272fd3d,张富利,2019-12-10 14:15:52 +0800,k8s’
’af546b9c,张富利,2019-12-10 14:02:58 +0800,k8s’
’553c3d51,zhangfuli,2019-12-09 16:49:53 +0800,Merge pull request #384 from doporg/pipeline-server’
’54951139,张富利,2019-12-09 16:48:15 +0800,Jenkinsfile-将中文stage修改成英文’
’11a39c54,zhangfuli,2019-12-09 16:39:45 +0800,Merge pull request #383 from doporg/pipeline-server’
’74557545,张富利,2019-12-09 16:39:13 +0800,Jenkinsfile-2’
’ad6e0946,zhangfuli,2019-12-09 14:31:37 +0800,Merge pull request #382 from doporg/pipeline-server’
’e9f6ab1d,张富利,2019-12-09 14:28:55 +0800,Jenkinsfile-2’
’e6123965,zhangfuli,2019-12-09 11:29:05 +0800,Merge pull request #381 from doporg/pipeline-server’
’73e3ac98,张富利,2019-12-09 11:28:19 +0800,Jenkinsfile’
’61b9f8b9,张富利,2019-12-08 16:38:08 +0800,replace git url’
’684beb43,Zyriix,2019-12-08 11:06:53 +0800,Merge pull request #380 from doporg/urlChange’
’e7a835d9,Zyriix,2019-12-08 10:51:44 +0800,该版本增加： 1.修改代码中mysql的地址 用户名 密码 2.修改代码中的harbor地址’
’f0f2f511,Zyriix,2019-11-24 10:50:34 +0800,Merge pull request #379 from doporg/docHarbor’
’2aad77b9,Zyriix,2019-11-24 10:49:22 +0800,Add files via upload’
’be1ed5b4,Jerry,2019-11-17 13:48:12 +0800,Update 5-Jenkins.md’
’e917404b,Zyriix,2019-11-08 11:37:43 +0800,Merge pull request #378 from doporg/docHelmAndJenkins’
’bd21b5aa,Bob,2019-11-08 11:34:31 +0800,增加helm和Jenkins的安装文档’
’4c2e5755,Jerry,2019-11-08 10:11:19 +0800,Create 3-mysql持久化部署.md’
’9246d03a,552000264,2019-11-02 16:42:08 +0800,Merge remote-tracking branch 'origin/master'’
’6095ddb5,552000264,2019-11-02 16:41:25 +0800,2-server.md 文件更新 部署flannel遇到问题’
’ebbbf60c,zhangfuli,2019-11-01 23:09:53 +0800,Merge pull request #377 from doporg/v2-server’
’30f42ae3,张富利,2019-11-01 23:09:07 +0800,v2版本-三台服务器部署docker’
’f6de945d,zhangfuli,2019-10-30 10:10:31 +0800,Merge pull request #376 from doporg/v2-deploy’
’565929f2,张富利,2019-10-30 10:09:20 +0800,v2版本-三台服务器部署docker’
’2f50e458,zhangfuli,2019-10-29 15:28:00 +0800,Merge pull request #375 from doporg/v2-server’
’87de1115,张富利,2019-10-29 15:27:05 +0800,v2版本-服务器’
’422a1dfd,zhangfuli,2019-10-28 20:05:31 +0800,Merge pull request #374 from doporg/v2-server’
’375a1f35,张富利,2019-10-28 20:04:53 +0800,v2版本-收集需求’
’1af54e13,zhangfuli,2019-10-26 12:54:07 +0800,Merge pull request #373 from doporg/v2-server’
’cac65087,张富利,2019-10-26 12:53:27 +0800,v2版本-服务器价格’
’00071882,zhangfuli,2019-10-26 11:23:04 +0800,Merge pull request #372 from doporg/v2-server’
’1f7658f5,张富利,2019-10-26 11:22:21 +0800,v2版本’
’07c192e5,Jerry,2019-10-23 15:42:38 +0800,Merge pull request #371 from doporg/monitor_requirement’
’3be50fce,Jerry,2019-10-23 12:58:50 +0800,Update 2019-10-19.md’
’7134e398,zhangfuli,2019-10-22 23:05:36 +0800,Merge pull request #370 from doporg/dopv2.0-doc’
’427f3654,Zyriix,2019-10-22 22:56:23 +0800,Update 2019-10-19.md’
’f422d613,zhangfuli,2019-10-22 14:57:41 +0800,Merge pull request #369 from doporg/monitor_requirement_update’
’0882e7e8,Jerry,2019-10-22 11:19:37 +0800,insert images’
’874d8888,zhangfuli,2019-10-22 10:42:12 +0800,Merge pull request #368 from doporg/monitor_requirement_update’
’fad75f84,Jerry,2019-10-20 19:01:03 +0800,Update 2019-10-19.md’
’3fba04f0,Jerry,2019-10-20 17:00:01 +0800,Update 2019-10-19.md’
’46dfbc9c,Jerry,2019-10-20 16:57:40 +0800,Update 2019-10-19.md’
’11d18558,Jerry,2019-10-20 14:42:10 +0800,monitor_requirement_update’
’08b09801,zhangfuli,2019-10-19 12:07:44 +0800,Merge pull request #367 from doporg/v2_meeting_20191019’
’0e8fff29,张富利,2019-10-19 12:06:57 +0800,v2版本’
’5729c0fd,zhangfuli,2019-09-08 10:41:01 +0800,Merge pull request #366 from doporg/v2’
’703c8508,MrZhangfuli,2019-09-08 10:39:13 +0800,v2版本’
’3cc51931,zhangfuli,2019-09-03 20:51:06 +0800,Merge pull request #365 from doporg/v2’
’c11b4146,MrZhangfuli,2019-09-03 20:48:51 +0800,v2版本’
’46d2a92e,zhangfuli,2019-09-02 20:41:48 +0800,Merge pull request #364 from doporg/v2’
’add952e8,MrZhangfuli,2019-09-02 16:11:09 +0800,v2版本’
’d2ecfac3,zhangfuli,2019-09-02 15:05:52 +0800,Merge pull request #363 from doporg/v2’
’f96dec15,MrZhangfuli,2019-09-02 15:05:22 +0800,v2版本’
’e37dbb33,MrZhangfuli,2019-09-02 13:46:39 +0800,v2版本’
’d00f8555,zhangfuli,2019-07-09 11:36:22 +0800,Merge pull request #362 from doporg/zhangfuli-patch-12’
’aff8d5b2,zhangfuli,2019-07-09 11:36:06 +0800,Update server.md’
’826fc1ef,zhangfuli,2019-07-09 11:35:24 +0800,Merge pull request #361 from doporg/zhangfuli-patch-11’
’9496d3d0,zhangfuli,2019-07-09 11:34:24 +0800,Update server.md’
’3028dd0e,zhangfuli,2019-07-09 11:14:56 +0800,Merge pull request #360 from doporg/zhangfuli-patch-10’
’cd4bcf93,zhangfuli,2019-07-09 11:14:41 +0800,Update server.md’
’01654156,zhangfuli,2019-06-25 00:34:40 +0800,Merge pull request #359 from doporg/dop’
’fab6c4c0,MrZhangfuli,2019-06-25 00:33:42 +0800,old introduce’
’ba7260f9,zhangfuli,2019-06-25 00:32:18 +0800,Merge pull request #358 from doporg/zhangfuli-patch-9’
’edb232b2,zhangfuli,2019-06-25 00:30:42 +0800,Merge pull request #357 from doporg/zhangfuli-patch-9-1’
’723c952e,zhangfuli,2019-06-25 00:30:28 +0800,Update README.md’
’53da7ca5,zhangfuli,2019-06-25 00:30:25 +0800,Update README.md’
’f3fd8aef,zhangfuli,2019-06-25 00:29:19 +0800,Merge pull request #356 from doporg/zhangfuli-patch-8’
’3b597e39,zhangfuli,2019-06-25 00:29:07 +0800,Update mind-map.md’
’438d988f,zhangfuli,2019-06-25 00:23:02 +0800,Merge pull request #355 from doporg/zhangfuli-patch-7’
’f364adcc,zhangfuli,2019-06-25 00:22:48 +0800,Update README.md’
’b50fdde2,zhangfuli,2019-06-25 00:13:29 +0800,Merge pull request #354 from doporg/zhangfuli-patch-6’
’bc7ec306,zhangfuli,2019-06-25 00:13:11 +0800,Update README.md’
’d9005d89,zhangfuli,2019-06-25 00:09:23 +0800,Merge pull request #353 from doporg/zhangfuli-patch-5’
’aa4b9feb,zhangfuli,2019-06-25 00:08:53 +0800,Update README.md’
’f5ceedde,zhangfuli,2019-06-25 00:07:52 +0800,Merge pull request #352 from doporg/zhangfuli-patch-4’
’ccba8cb3,zhangfuli,2019-06-25 00:07:38 +0800,Update README.md’
’4c7e715b,zhangfuli,2019-06-25 00:02:01 +0800,Merge pull request #351 from doporg/zhangfuli-patch-3’
’9680f351,zhangfuli,2019-06-25 00:01:45 +0800,Update README.md’
’75897109,zhangfuli,2019-06-20 20:26:10 +0800,Merge pull request #350 from doporg/zhangfuli-patch-2’
’de275e5a,zhangfuli,2019-06-20 20:25:55 +0800,Update README.md’
’a8bc509a,zhangfuli,2019-06-20 20:22:50 +0800,Merge pull request #349 from doporg/zhangfuli-patch-1’
’caaa1656,zhangfuli,2019-06-20 20:22:36 +0800,Update README.md’
’e7e11cc8,zhangfuli,2019-06-20 19:03:13 +0800,Merge pull request #348 from doporg/mind-map’
’08961e2d,zhangfuli,2019-06-20 19:02:13 +0800,mind-map’
’204993b6,zhangfuli,2019-06-20 19:00:22 +0800,Merge pull request #347 from doporg/mind-map’
’9f3ff701,zhangfuli,2019-06-20 18:59:23 +0800,mind-map’
’4e608b77,zhangfuli,2019-06-20 18:59:10 +0800,mind-map’
’a16d21c4,zhangfuli,2019-06-18 21:13:22 +0800,Merge pull request #346 from doporg/zhangfuli-patch-5’
’9261092c,zhangfuli,2019-06-18 21:12:29 +0800,Update README.md’
’21bc193b,zhangfuli,2019-06-18 20:39:48 +0800,Merge pull request #344 from doporg/zhangfuli-patch-3’
’06e813da,zhangfuli,2019-06-18 20:39:34 +0800,Update README.md’
’17c1133c,zhangfuli,2019-06-18 20:37:23 +0800,Merge pull request #343 from doporg/zhangfuli-patch-2’
’22dd02a0,zhangfuli,2019-06-18 20:37:08 +0800,Update README.md’
’67a66311,zhangfuli,2019-06-18 20:35:52 +0800,Merge pull request #342 from doporg/zhangfuli-patch-1’
’7ecf8b04,zhangfuli,2019-06-18 20:35:40 +0800,Update README.md’
’889f9cf2,zhangfuli,2019-06-18 19:26:38 +0800,Merge pull request #341 from doporg/IDP’
’9d258987,zhangfuli,2019-06-18 19:25:55 +0800,compare with IDP’
’4da85cf9,zhangfuli,2019-06-18 09:49:02 +0800,Merge pull request #340 from doporg/user’
’ff1733a8,zhangfuli,2019-06-18 09:48:06 +0800,delete img’
’f4d48bdb,zhangfuli,2019-06-18 09:46:12 +0800,Merge pull request #339 from doporg/user’
’0e49ef79,zhangfuli,2019-06-18 09:44:51 +0800,usage’
’52d265d4,zhangfuli,2019-06-18 09:36:57 +0800,Merge pull request #338 from doporg/user’
’809b6492,zhangfuli,2019-06-18 09:35:59 +0800,no message’
’51d65eb6,zhangfuli,2019-06-17 23:48:14 +0800,Merge pull request #337 from doporg/user’
’83663ba6,zhangfuli,2019-06-17 23:46:27 +0800,readme2’
’61387d5c,zhangfuli,2019-06-17 23:45:42 +0800,readme2’
’3b760aac,zhangfuli,2019-06-17 23:44:36 +0800,Merge pull request #336 from doporg/user’
’48521b44,zhangfuli,2019-06-17 23:43:01 +0800,readme’
’45f4ed0d,zhangfuli,2019-06-16 20:14:09 +0800,Merge pull request #335 from doporg/logo’
’d56b85bc,zhangfuli,2019-06-16 20:12:31 +0800,logo’
’017dcc1a,zhangfuli,2019-06-15 21:56:15 +0800,Merge pull request #334 from doporg/server-md’
’36e4042b,zhangfuli,2019-06-15 21:54:54 +0800,server-md’
’ac6b990e,zhangfuli,2019-06-15 21:54:41 +0800,server-md’
’d6f100b4,zhangfuli,2019-06-15 19:34:46 +0800,Merge pull request #333 from doporg/zhangfuli-patch-7’
’13f688f3,zhangfuli,2019-06-15 19:34:34 +0800,fix bug’
’e946710e,zhangfuli,2019-06-15 19:33:53 +0800,Merge pull request #332 from doporg/zhangfuli-patch-6’
’2915726d,zhangfuli,2019-06-15 19:33:41 +0800,feign’
’1af3d642,zhangfuli,2019-06-15 19:32:56 +0800,Merge pull request #331 from doporg/zhangfuli-patch-5’
’a2a48b75,zhangfuli,2019-06-15 19:02:50 +0800,Time format tweaks fix deserialization failure’
’961b35b4,zhangfuli,2019-06-15 19:02:19 +0800,Merge pull request #330 from doporg/zhangfuli-patch-4’
’94527a55,zhangfuli,2019-06-15 19:01:55 +0800,Time format tweaks fix deserialization failure’
’2a3e1f64,zhangfuli,2019-06-15 19:00:56 +0800,Merge pull request #329 from doporg/zhangfuli-patch-3’
’7191a81e,zhangfuli,2019-06-15 18:59:29 +0800,Modify the image warehouse address fetch method’
’0f22206d,zhangfuli,2019-06-15 18:57:58 +0800,Merge pull request #328 from doporg/zhangfuli-patch-2’
’2f054599,zhangfuli,2019-06-15 18:57:19 +0800,fix bug’
’07e98854,zhangfuli,2019-06-15 18:56:09 +0800,Merge pull request #327 from doporg/zhangfuli-patch-1’
’0dbe3917,zhangfuli,2019-06-15 18:55:26 +0800,internationalization’
’d5acbac6,zhangfuli,2019-06-15 18:43:02 +0800,Merge pull request #326 from doporg/audit’
’b442b6fe,zhangfuli,2019-06-15 18:37:26 +0800,Time format tweaks fix deserialization failure’
’e4e1be2c,zhangfuli,2019-06-15 18:28:37 +0800,Merge pull request #325 from doporg/manual’
’62dfea82,zhangfuli,2019-06-15 18:27:16 +0800,Improve the manual’
’ce9bfba9,zhangfuli,2019-06-15 18:12:58 +0800,Merge pull request #324 from doporg/logo’
’45c248ba,zhangfuli,2019-06-15 18:11:50 +0800,logo’
’4b39a937,zhangfuli,2019-06-15 18:07:59 +0800,logo’
’7ac71c64,zhangfuli,2019-06-14 10:19:14 +0800,Merge pull request #322 from doporg/zhangfuli-patch-2’
